       c_name       |                c_address                 |  nation   |     c_phone     | c_acctbal |                                                      c_comment                                                       | revenue_lost 
--------------------+------------------------------------------+-----------+-----------------+-----------+----------------------------------------------------------------------------------------------------------------------+--------------
 Customer#000033049 | EM2luV0UbDwesEaL4wO8J WGct,zE  wGFu 9O   | CANADA    | 13-186-428-7510 |   5101.51 | old dolphins. stealthily even decoys detect slyly across the accounts. furiously silent packages boost carefully. ir | 1801571.8258
 Customer#000036376 | wSVoQsr2bzDnLFCak94dBAaFWg               | EGYPT     | 14-523-414-8389 |   8597.08 | blithely pending instructions haggle slyly final fox                                                                 | 1653735.6938
 Customer#000050353 |   bePueH0T                               | CANADA    | 13-292-537-2642 |   8525.79 | ctions. silent deposits cajole. slyly fluffy packages sleep blithely final theodolites. slyly i                      | 1467602.9940
 Customer#000072628 | iHAemZhcchL                              | FRANCE    | 16-183-234-8404 |   5961.83 | silent asymptotes integrate careful                                                                                  | 1445610.3920
 Customer#000013489 | GFA4XRRB,oUebQCRALoYz2y0MAmaG2K          | ARGENTINA | 11-193-757-6132 |   7850.83 | deposits unwind along the blithely unusual packages. unusual, regula                                                 | 1433803.1298
 Customer#000007360 | InDw9EVB9oXfJa3tlnS                      | CANADA    | 13-386-577-6971 |   6563.75 |  packages cajole blithely above the regular theodolites. quickl                                                      | 1424482.6238
 Customer#000036985 | gWKSR2kLaF8EplJEfZ0Rd0WpU65Ll6nP75VT     | ARGENTINA | 11-601-462-5744 |   9233.98 | ve the sly, unusual packages. slyly ironic foxes sleep. final dependencies need                                      | 1414964.1938
 Customer#000097342 | 38RFua4TG5az7g5AuvJb0ojcuEy2PLQtm7       | FRANCE    | 16-971-873-4632 |   9964.84 | permanently special accounts. ironic accounts are foxes. slyly ironic requests w                                     | 1406981.2840
 Customer#000148126 | hevm3Xlpx6E9e6Ha55JlnJbTS46Ue3u4         | BRAZIL    | 12-508-455-5443 |   6193.01 | o beans haggle blithely. even courts cajole slyly thinly ironic foxes. slyly regular requests boost quickly          | 1388683.2748
 Customer#000056566 | XnEepJV9jlsJ                             | INDIA     | 18-178-346-5038 |   7949.97 | ffily furious pinto beans to the slyly permanent multipliers cajole c                                                | 1382067.6924
 Customer#000065518 | LK1vrmrx3Mtch,                           | CANADA    | 13-436-573-5728 |   3477.31 | unwind furiously. slowly regular requests use furiously furiously pending somas. quickly unusu                       | 1338625.4864
 Customer#000014179 | 2uHsSHd2yg8UkOpxl                        | INDONESIA | 19-272-988-9346 |   3885.89 | ctions sleep fluffily. regular foxes after the bold deposits sleep after the carefull                                | 1319438.7166
 Customer#000115201 | vNswnQncDa                               | CANADA    | 13-639-145-1347 |   -505.45 | egular pinto beans cajole furiously beyond the furiously regular dependencies. ironic, ironic requ                   | 1310334.5700
 Customer#000143689 | fHBBgVQDV9pzyW573VJmjb3                  | FRANCE    | 16-947-989-9797 |   7404.78 | he furiously regular frets nag among the furiously express accounts. quickly bold pi                                 | 1280842.4250
 Customer#000010033 | xWbradETpEhz9Fc                          | ALGERIA   | 10-947-875-5994 |   3835.25 | fully slyly silent ideas: carefully reg                                                                              | 1271053.7844
 Customer#000096700 | a,KH7i JIT2 UvL8By                       | ALGERIA   | 10-304-136-8251 |   5857.36 | n requests haggle ruthlessly blithely express instructions! furiously pending dependencies unwind furiously slyly    | 1270410.9928
 Customer#000047608 | XSQOPkjN8qdoFhU9LUfd4wd7bXdtFi FQubU Tuf | INDIA     | 18-227-343-8646 |   1795.93 | posits about the pending pinto beans sleep ironic, final theodolites. ideas are fur                                  | 1269031.8282
 Customer#000094069 | Ow1SAtWaJkUz                             | ETHIOPIA  | 15-546-611-2972 |   9026.53 | packages. requests use after the packages. carefully express ideas use. quickly regular platelets haggle fluffily    | 1266047.6152
 Customer#000084373 | gAtJJkEwqGYo0OZJT                        | ETHIOPIA  | 15-724-460-9888 |   2822.65 | bove the carefully silent platelets cajole deposits. caref                                                           | 1260230.0922
 Customer#000017059 | KthZ7IJlsNkcpeLyPIUjYJVKpp3YDR2          | INDONESIA | 19-139-886-6141 |   5187.86 | its. furiously special theodolites are                                                                               | 1251680.1992
(20 rows)

