 s_acctbal |       s_name       |  n_name   | p_partkey |          p_mfgr           |                s_address                 |     s_phone     |                                              s_comment                                              
-----------+--------------------+-----------+-----------+---------------------------+------------------------------------------+-----------------+-----------------------------------------------------------------------------------------------------
   9989.02 | Supplier#000002892 | JAPAN     |     10390 | Manufacturer#2            | g  RYnxGX5D 192b2QWfOL9 DII              | 22-714-719-2067 | . regular requests across the pend
   9989.02 | Supplier#000002892 | JAPAN     |     10390 | Manufacturer#2            | g  RYnxGX5D 192b2QWfOL9 DII              | 22-714-719-2067 | . regular requests across the pend
   9973.93 | Supplier#000004194 | Nation13  |    191674 | Manufacturer#5            | A8AoX9AK,qhf,CpEF                        | 23-944-413-2681 | t fluffily. regular requests about the regular, unusual somas play of the furiously busy
   9973.93 | Supplier#000004194 | Nation13  |    191674 | Manufacturer#5            | A8AoX9AK,qhf,CpEF                        | 23-944-413-2681 | t fluffily. regular requests about the regular, unusual somas play of the furiously busy
   9903.47 | Supplier#000002334 | Nation21  |     72333 | Manufacturer#5            | TRASs4 HRa7BJLxXRms327M                  | 31-806-679-3391 | nts doze blithely ironic deposits. bold deposits boost. care
   9903.47 | Supplier#000002334 | Nation21  |     72333 | Manufacturer#5            | TRASs4 HRa7BJLxXRms327M                  | 31-806-679-3391 | nts doze blithely ironic deposits. bold deposits boost. care
   9903.47 | Supplier#000002334 | VIETNAM   |     72333 | Manufacturer#5            | TRASs4 HRa7BJLxXRms327M                  | 31-806-679-3391 | nts doze blithely ironic deposits. bold deposits boost. care
   9903.47 | Supplier#000002334 | VIETNAM   |     72333 | Manufacturer#5            | TRASs4 HRa7BJLxXRms327M                  | 31-806-679-3391 | nts doze blithely ironic deposits. bold deposits boost. care
   9889.66 | Supplier#000001943 | Nation13  |     24436 | Manufacturer#4            | ROT u2yO2E8cIFvz6a18vuW3DvF,SvHIFKESc1V  | 23-574-621-8188 | s cajole slyly alongside of the quickly express asymptotes. blithely sp
   9889.66 | Supplier#000001943 | Nation13  |     24436 | Manufacturer#4            | ROT u2yO2E8cIFvz6a18vuW3DvF,SvHIFKESc1V  | 23-574-621-8188 | s cajole slyly alongside of the quickly express asymptotes. blithely sp
   9885.57 | Supplier#000007289 | Nation14  |    102268 | Manufacturer#1            | GoYBOvCn2XuN,7i                          | 24-296-865-2694 | riously ironic excuses. furiously bold accounts doubt above the dependencies. id
   9885.57 | Supplier#000007289 | Nation14  |    102268 | Manufacturer#1            | GoYBOvCn2XuN,7i                          | 24-296-865-2694 | riously ironic excuses. furiously bold accounts doubt above the dependencies. id
   9882.68 | Supplier#000002753 | Nation13  |    107732 | Manufacturer#3            | Q6D89sklsThNCyo7VY                       | 23-732-338-4999 | fily. pinto beans affix furiously across the blithely regular theodol
   9882.68 | Supplier#000002753 | Nation13  |    107732 | Manufacturer#3            | Q6D89sklsThNCyo7VY                       | 23-732-338-4999 | fily. pinto beans affix furiously across the blithely regular theodol
   9869.16 | Supplier#000007901 | Nation13  |    125388 | Manufacturer#4            | aS6VO,6XvwM9                             | 23-777-524-1341 | lites. quickly unusual dugouts must nag stealthy frays. foxes haggle. speci
   9869.16 | Supplier#000007901 | Nation13  |    125388 | Manufacturer#4            | aS6VO,6XvwM9                             | 23-777-524-1341 | lites. quickly unusual dugouts must nag stealthy frays. foxes haggle. speci
    9854.5 | Supplier19         | JAPAN     |     60018 | Manufacturer#3            | Address 19                               | 664717406       | Supplier comment 19
    9854.5 | Supplier19         | JAPAN     |     60018 | Manufacturer#3            | Address 19                               | 664717406       | Supplier comment 19
   9813.29 | Supplier#000005940 | Nation21  |    183421 | Manufacturer#3            | h2 ,wLZdgkwlo7KSzQ7WxRr27gv7             | 31-327-330-2818 | alongside of the blithely thin foxes
   9813.29 | Supplier#000005940 | Nation21  |    183421 | Manufacturer#3            | h2 ,wLZdgkwlo7KSzQ7WxRr27gv7             | 31-327-330-2818 | alongside of the blithely thin foxes
