 c_custkey |       c_name       |   revenue    | c_acctbal |  n_name   |                c_address                 |     c_phone     |                                                     c_comment                                                      
-----------+--------------------+--------------+-----------+-----------+------------------------------------------+-----------------+--------------------------------------------------------------------------------------------------------------------
    146756 | Customer#000146756 | 1407572.0394 |    107.25 | EGYPT     | WWH fjsDkKovu8jiTYZmxC3HMLIYEDnDT        | 14-321-449-8957 | xes believe blithely platelets. even, final accounts nag carefully against the
     36376 | Customer#000036376 | 1380208.7784 |   8597.08 | EGYPT     | wSVoQsr2bzDnLFCak94dBAaFWg               | 14-523-414-8389 | blithely pending instructions haggle slyly final fox
    125341 | Customer#000125341 | 1268855.2936 |   4983.51 | GERMANY   | S29ODD6bceU8QSuuEJznkNaK                 | 17-582-695-5962 | arefully even depths. blithely even excuses sleep furiously. foxes use except the dependencies. ca
    138763 | Customer#000138763 | 1220308.6860 |   9858.75 | ALGERIA   | uPDjizkE4zHPf,ovWhk9qmoLH4rxal v8fZ1     | 10-841-461-4873 |  detect. carefully bold ideas against the final ideas are blithely a
    148126 | Customer#000148126 | 1202645.9030 |   6193.01 | BRAZIL    | hevm3Xlpx6E9e6Ha55JlnJbTS46Ue3u4         | 12-508-455-5443 | o beans haggle blithely. even courts cajole slyly thinly ironic foxes. slyly regular requests boost quickly 
     36985 | Customer#000036985 | 1197461.2140 |   9233.98 | ARGENTINA | gWKSR2kLaF8EplJEfZ0Rd0WpU65Ll6nP75VT     | 11-601-462-5744 | ve the sly, unusual packages. slyly ironic foxes sleep. final dependencies need
     53806 | Customer#000053806 | 1191277.8396 |   1026.26 | ETHIOPIA  | 7b4rt2hZ JbYCrKJMLp,xyeo6Be6i4EywxH2lDDj | 15-204-530-5443 | ely final ideas. fluffily ironic ideas sleep slyly ironic theod
     41326 | Customer#000041326 | 1168506.4616 |   6150.39 | ARGENTINA | e8scpD1KJhadg,7T6GTOi3q0DtSgU21we        | 11-827-403-2570 | eas. furiously regular requests nag fluffily fluffily pending accounts. b
     61858 | Customer#000061858 | 1142102.1854 |   -574.88 | BRAZIL    | ynwNnff2igX6G9L3mFnXpB3MElZjDhnq         | 12-390-479-1121 | ly final theodolites nag blithely blithely even foxes. accou
    134533 | Customer#000134533 | 1141931.1580 |   3241.99 | CANADA    | L3Lyp3wAVP6                              | 13-127-698-5142 | egular foxes. furiously ironic theodolites wake along the blithely final asymptotes? slyl
     85118 | Customer#000085118 | 1066946.5950 |   7171.71 | BRAZIL    | FzDAN5fGYTDr4AcATJJq6LaqBS,oYxB3         | 12-149-965-7637 |  accounts. express accounts hang along the packages. ironic pint
    136279 | Customer#000136279 | 1061099.5986 |   3510.94 | ALGERIA   | tH5mZ,HqMqJ4orClmXe6                     | 10-616-238-6849 | sometimes unusual notornis. pinto beans cajole blithely. deposits sleep carefully by the pending accounts. final d
    103849 | Customer#000103849 | 1045803.1896 |   7199.32 | CANADA    | zmz68mbNIL4v0k7R                         | 13-967-716-8294 | ost according to the even, regular
     30886 | Customer#000030886 | 1042999.9426 |   2522.33 | ARGENTINA | csRl AqzbBiNl                            | 11-124-403-8835 | fluffily. slyly special excuses nag furiously. 
     29587 | Customer#000029587 | 1038242.1754 |    689.42 | ARGENTINA | CstVplP0b7e2H                            | 11-756-476-7073 | sts hang alongside of the bold, even requests. carefully special requests wake along the even, quic
     26693 | Customer#000026693 | 1032500.3316 |    457.01 | ETHIOPIA  | 2eVRCpVSN4N                              | 15-502-328-2597 | slyly across the slyly regular pinto beans. warhorses sleep above the silent platelets. regular deposi
      3430 | Customer#000003430 | 1027475.9080 |   -631.28 | CANADA    | KCY2HqWa4ZAxPhUtFrTRZiEDtihOPsP5Z3J      | 13-951-290-9302 |  the silently ironic pinto beans. regu
     28156 | Customer#000028156 | 1023587.9528 |   1256.55 | BRAZIL    | jcyPxng8,FVs,gDFi,66QsVmlPaCfPA          | 12-714-200-4144 |  pinto beans breach furiously regul
     72175 | Customer#000072175 | 1023067.4008 |   4978.60 | INDONESIA | uKcNS8r3LvJf7j4zZJ                       | 19-908-752-9101 | elets. carefully final ideas sleep slyly unusual packages. fluffily ironic inst
     13489 | Customer#000013489 | 1009660.3272 |   7850.83 | ARGENTINA | GFA4XRRB,oUebQCRALoYz2y0MAmaG2K          | 11-193-757-6132 | deposits unwind along the blithely unusual packages. unusual, regula
(20 rows)

